CardTransID,CardID,Merchant,Amount,Currency,Date,Status
39,209,Yambee,6481,GBP,5/2/2025,Failed
40,96,Photobug,8321,USD,9/27/2025,Completed
41,480,Skynoodle,5725,GBP,5/26/2025,Pending
42,78,Topicblab,2465,USD,8/18/2025,Completed
43,342,Meevee,9926,UZS,10/20/2025,Failed
44,15,Wordpedia,2118,UZS,1/2/2025,Completed
45,198,DabZ,2215,UZS,10/3/2025,Pending
46,466,Yotz,6155,EUR,6/15/2025,Pending
47,286,Omba,9138,UZS,2/3/2025,Completed
48,337,Divanoodle,2154,USD,12/7/2025,Completed
49,255,Devshare,8426,GBP,9/15/2025,Failed
50,240,Linkbuzz,249,UZS,8/2/2025,Failed
51,90,Voomm,9693,EUR,3/25/2025,Completed
52,373,Devify,417,USD,9/17/2025,Completed
53,44,Fanoodle,8474,USD,12/22/2025,Pending
54,239,Fanoodle,1770,UZS,7/5/2025,Pending
55,344,Oodoo,3332,GBP,10/9/2025,Completed
56,379,Edgewire,9289,EUR,10/2/2025,Failed
57,500,Trilith,1153,EUR,7/18/2025,Completed
58,106,Twinte,5938,GBP,8/21/2025,Failed
59,311,Blogpad,9868,GBP,12/28/2025,Pending
60,222,Gigabox,8037,UZS,4/5/2025,Pending
61,227,Livefish,5895,USD,8/7/2025,Failed
62,106,Ozu,7624,USD,8/20/2025,Completed
63,54,Aimbu,7569,GBP,10/4/2025,Failed
64,99,Yacero,5606,GBP,4/29/2025,Completed
65,500,Divanoodle,3415,USD,8/15/2025,Pending
66,356,Bluejam,2387,EUR,1/10/2025,Failed
67,341,Bubbletube,4062,EUR,7/8/2025,Pending
68,460,Oyope,5291,USD,11/5/2025,Failed
69,413,Minyx,3738,GBP,9/6/2025,Pending
70,370,Youtags,7540,EUR,2/25/2025,Failed
71,257,Skipfire,5944,GBP,12/15/2025,Completed
72,198,Skipstorm,152,EUR,4/16/2025,Failed
73,164,Blogspan,7128,GBP,2/23/2025,Pending
74,338,Skibox,1575,GBP,3/13/2025,Failed
75,75,Blogpad,137,UZS,11/18/2025,Completed
76,263,Muxo,2445,USD,10/5/2025,Pending
77,346,Skiptube,8266,USD,7/9/2025,Failed
78,449,Topicware,2968,USD,10/30/2025,Failed
79,287,Dynava,672,EUR,9/20/2025,Pending
80,153,Photojam,6332,EUR,2/17/2025,Pending
81,342,Tavu,4562,EUR,4/9/2025,Pending
82,363,Shufflester,5179,EUR,8/16/2025,Failed
83,243,Blogtags,2131,USD,3/22/2025,Failed
84,202,Lazzy,7838,EUR,4/13/2025,Failed
85,264,Yabox,7197,USD,2/1/2025,Completed
86,141,Thoughtworks,5232,GBP,4/28/2025,Completed
87,476,Tagfeed,6133,UZS,4/25/2025,Failed
88,449,Yacero,9481,USD,10/15/2025,Pending
89,163,Buzzshare,4804,GBP,12/1/2025,Failed
90,78,Zoombox,4053,EUR,8/1/2025,Completed
91,282,Dabjam,5212,UZS,5/18/2025,Failed
92,500,Zoomzone,6197,EUR,7/12/2025,Pending
93,221,Babbleopia,2250,EUR,2/10/2025,Failed
94,387,Dazzlesphere,2946,USD,7/21/2025,Completed
95,135,Devbug,1052,GBP,12/18/2025,Completed
96,116,Blogpad,9195,UZS,6/2/2025,Completed
97,345,Mydeo,2916,EUR,9/30/2025,Pending
98,450,Mita,4299,EUR,12/1/2025,Failed
99,116,Kwimbee,5754,GBP,2/23/2025,Pending
100,287,Skyble,5052,UZS,8/13/2025,Completed
101,494,Mymm,8775,UZS,2/5/2025,Failed
102,248,Eabox,126,GBP,5/10/2025,Pending
103,312,Gabspot,601,EUR,2/12/2025,Pending
104,80,Bluejam,6554,GBP,9/26/2025,Completed
105,491,Meembee,3136,USD,8/14/2025,Failed
106,296,Teklist,8075,UZS,8/5/2025,Failed
107,198,Innojam,3499,USD,11/15/2025,Pending
108,46,Skyvu,4000,UZS,4/2/2025,Pending
109,334,Vinte,9555,EUR,6/8/2025,Pending
110,24,Realpoint,2162,EUR,10/16/2025,Failed
111,40,Jabbersphere,2685,UZS,12/24/2025,Failed
112,348,Gigabox,6270,UZS,8/31/2025,Completed
113,162,Feedbug,1510,EUR,7/2/2025,Completed
114,149,Fivechat,3910,GBP,8/20/2025,Completed
115,354,Ooba,3712,EUR,9/29/2025,Completed
116,368,Feedfish,1314,EUR,6/1/2025,Pending
117,114,Twitternation,4830,GBP,5/7/2025,Pending
118,237,Linktype,7603,GBP,2/10/2025,Completed
119,225,Trupe,4756,EUR,1/1/2025,Completed
120,165,Livepath,9932,UZS,9/13/2025,Completed
121,170,Jabberbean,548,GBP,12/11/2025,Completed
122,472,Trupe,1183,UZS,3/23/2025,Failed
123,281,Katz,5585,EUR,10/15/2025,Failed
124,427,Teklist,1160,EUR,8/4/2025,Completed
125,106,Jatri,8664,UZS,10/21/2025,Pending
126,92,Eare,711,UZS,12/18/2025,Completed
127,207,Twitterlist,3056,USD,9/20/2025,Pending
128,112,Oyonder,8697,USD,1/25/2025,Completed
129,348,Pixoboo,5156,UZS,4/3/2025,Completed
130,333,Feednation,4832,UZS,11/21/2025,Pending
131,463,Skaboo,9748,EUR,1/30/2025,Completed
132,35,Npath,7436,UZS,3/12/2025,Failed
133,2,Skyndu,892,UZS,1/21/2025,Completed
134,5,Mita,791,EUR,10/12/2025,Failed
135,255,Fatz,2567,UZS,9/11/2025,Completed
136,386,Jayo,53,GBP,3/28/2025,Completed
137,125,Skyble,5052,USD,5/15/2025,Failed
138,201,Divape,8817,UZS,12/27/2025,Completed
139,327,Thoughtmix,5399,EUR,11/1/2025,Failed
140,352,Jazzy,8450,EUR,1/11/2025,Completed
141,252,Rhycero,2489,UZS,3/4/2025,Completed
142,161,Thoughtsphere,5839,UZS,1/22/2025,Failed
143,284,Gabvine,3813,USD,1/6/2025,Failed
144,58,Realcube,698,USD,2/14/2025,Pending
145,292,Fanoodle,5163,UZS,2/20/2025,Pending
146,131,Gabtune,3407,GBP,4/2/2025,Pending
147,141,Dynava,2667,USD,11/27/2025,Completed
148,180,Realpoint,1131,GBP,12/18/2025,Failed
149,20,Zooxo,4565,UZS,7/7/2025,Pending
150,327,Chatterbridge,6690,GBP,11/11/2025,Completed
151,401,Gabcube,9268,EUR,12/22/2025,Completed
152,260,Katz,3673,UZS,3/26/2025,Completed
153,16,Riffpath,5227,UZS,11/28/2025,Completed
154,479,Demivee,2623,GBP,3/24/2025,Pending
155,156,Jaloo,4187,UZS,5/20/2025,Failed
156,148,Oyoloo,4873,GBP,6/6/2025,Completed
157,128,Jayo,3494,GBP,10/6/2025,Failed
158,419,Devshare,2933,UZS,2/17/2025,Failed
159,236,Rhyloo,729,EUR,2/2/2025,Failed
160,10,Wordware,2984,EUR,5/29/2025,Completed
161,183,Youspan,4682,UZS,5/11/2025,Pending
162,462,Skinix,6493,EUR,8/10/2025,Pending
163,78,Mycat,2157,EUR,9/16/2025,Failed
164,260,Buzzbean,1314,USD,2/19/2025,Pending
165,210,Quimba,4153,UZS,6/19/2025,Pending
166,98,Jazzy,3660,EUR,11/27/2025,Pending
167,157,Wikizz,9226,UZS,12/22/2025,Failed
168,95,Quatz,8127,USD,8/16/2025,Completed
169,392,Browsecat,4747,USD,7/7/2025,Failed
170,101,Oyoloo,8263,UZS,2/26/2025,Completed
171,169,Devshare,635,USD,3/5/2025,Failed
172,228,Riffpedia,3271,UZS,12/4/2025,Pending
173,303,Blognation,1584,USD,10/9/2025,Pending
174,41,Vidoo,1634,UZS,6/30/2025,Completed
175,258,Bubbletube,6445,UZS,12/18/2025,Pending
176,264,Kayveo,6423,UZS,1/13/2025,Completed
177,43,Devshare,3763,GBP,6/7/2025,Failed
178,265,Vinte,5185,GBP,10/17/2025,Pending
179,226,Edgewire,2953,UZS,4/26/2025,Failed
180,193,Kwimbee,8719,UZS,6/12/2025,Failed
181,432,Edgepulse,2849,GBP,4/2/2025,Completed
182,353,Quinu,5190,UZS,10/13/2025,Completed
183,483,Twinte,3455,USD,2/25/2025,Completed
184,68,Kwimbee,6567,UZS,6/19/2025,Failed
185,485,Browsezoom,6447,UZS,8/9/2025,Pending
186,124,Devpulse,7794,EUR,6/23/2025,Pending
187,317,Wikido,6096,GBP,12/9/2025,Completed
188,82,Blogpad,4210,GBP,6/10/2025,Completed
189,129,Realpoint,1591,UZS,5/5/2025,Failed
190,167,Devbug,6920,GBP,7/18/2025,Completed
191,147,Oyoloo,4945,GBP,7/4/2025,Pending
192,93,DabZ,3262,EUR,8/12/2025,Completed
193,158,Dabjam,5825,EUR,3/23/2025,Failed
194,355,Gabvine,4545,UZS,12/19/2025,Completed
195,41,Meevee,4673,UZS,3/25/2025,Failed
196,445,Digitube,6530,USD,7/2/2025,Completed
197,314,Oyoyo,436,USD,9/1/2025,Failed
198,56,Skyndu,7020,EUR,5/1/2025,Failed
199,404,Brightbean,9637,UZS,3/17/2025,Failed
200,306,Fanoodle,6101,GBP,7/17/2025,Failed
201,42,Wikibox,516,USD,12/16/2025,Failed
202,309,Meezzy,7640,USD,9/20/2025,Completed
203,215,Jayo,8568,UZS,2/7/2025,Pending
204,167,Flipstorm,2098,USD,10/19/2025,Pending
205,444,Jamia,2605,GBP,12/19/2025,Completed
206,174,Skaboo,1574,GBP,12/4/2025,Pending
207,326,Pixope,1646,USD,7/20/2025,Failed
208,35,Innotype,3248,GBP,2/28/2025,Pending
209,464,Omba,3925,GBP,6/11/2025,Pending
210,484,Yacero,6095,USD,12/22/2025,Failed
211,455,Trunyx,5032,EUR,7/25/2025,Completed
212,111,Kaymbo,5506,UZS,5/5/2025,Pending
213,397,Digitube,1946,GBP,1/7/2025,Pending
214,80,Topicware,2267,EUR,11/6/2025,Completed
215,360,Skinder,1209,GBP,7/3/2025,Failed
216,137,Eidel,9374,USD,1/28/2025,Completed
217,93,Roodel,9055,EUR,9/8/2025,Pending
218,370,Zoomzone,6544,GBP,7/24/2025,Pending
219,105,Cogidoo,4659,EUR,12/29/2025,Failed
220,351,Topicshots,2459,USD,3/20/2025,Failed
221,42,Feedspan,1806,USD,1/1/2025,Pending
222,468,Ntags,7645,EUR,8/5/2025,Pending
223,61,Kimia,5450,USD,1/14/2025,Pending
224,181,Centidel,8334,GBP,3/30/2025,Failed
225,471,Teklist,2012,USD,4/15/2025,Pending
226,491,Mymm,1783,USD,12/14/2025,Completed
227,230,Minyx,8277,GBP,8/14/2025,Failed
228,176,Mydeo,4862,USD,1/11/2025,Pending
229,39,Jaxspan,1833,UZS,1/10/2025,Completed
230,257,Kwinu,2027,EUR,4/9/2025,Completed
231,134,Topiczoom,6443,EUR,3/7/2025,Pending
232,337,Yamia,8301,GBP,1/10/2025,Completed
233,48,Bubblebox,9593,USD,12/18/2025,Pending
234,279,Plambee,9979,UZS,2/7/2025,Pending
235,480,Topicshots,4879,USD,4/11/2025,Failed
236,356,Dablist,7911,EUR,6/12/2025,Failed
237,367,Devpoint,8538,USD,1/16/2025,Pending
238,263,Riffpath,2535,GBP,11/28/2025,Completed
239,78,Trilith,4181,GBP,10/1/2025,Completed
240,231,Yakitri,9658,EUR,8/23/2025,Pending
241,334,Skinix,6455,USD,4/25/2025,Completed
242,326,Buzzbean,112,EUR,1/13/2025,Completed
243,281,Blogtag,8678,UZS,12/21/2025,Completed
244,262,Oyoyo,3643,GBP,9/3/2025,Completed
245,164,Yakidoo,922,EUR,12/25/2025,Pending
246,268,Topicstorm,8092,USD,4/27/2025,Pending
247,395,Topiclounge,1650,USD,1/21/2025,Failed
248,435,Riffpedia,8651,USD,1/12/2025,Completed
249,271,Zoomzone,3453,UZS,10/12/2025,Pending
250,14,Skimia,8543,UZS,5/12/2025,Failed
251,226,Meevee,5913,UZS,1/1/2025,Completed
252,219,Divanoodle,2655,GBP,5/6/2025,Completed
253,415,Topicblab,6840,UZS,8/11/2025,Completed
254,380,Twitterwire,833,EUR,4/9/2025,Completed
255,72,Fivespan,1613,EUR,1/23/2025,Pending
256,312,Geba,7605,EUR,3/29/2025,Pending
257,216,Divape,365,USD,1/30/2025,Failed
258,89,Eadel,1486,USD,2/14/2025,Completed
259,150,Realblab,7191,USD,10/2/2025,Failed
260,38,Skinte,6420,UZS,7/16/2025,Failed
261,176,Voomm,8590,UZS,6/1/2025,Pending
262,336,Flashspan,1908,UZS,2/28/2025,Completed
263,166,Fliptune,8608,USD,10/22/2025,Completed
264,33,Browsezoom,5516,GBP,1/12/2025,Pending
265,123,Meedoo,7936,UZS,7/10/2025,Completed
266,71,Youfeed,775,UZS,5/5/2025,Failed
267,324,Twitterworks,6103,EUR,11/12/2025,Failed
268,417,Bubblemix,801,EUR,7/2/2025,Completed
269,339,Buzzshare,3075,EUR,12/20/2025,Pending
270,455,Realmix,4309,EUR,12/2/2025,Pending
271,136,Yamia,4879,USD,6/13/2025,Failed
272,386,Leexo,1832,GBP,3/11/2025,Pending
273,277,Yoveo,6536,GBP,5/10/2025,Failed
274,481,Zoombox,4923,GBP,10/13/2025,Pending
275,224,Thoughtstorm,731,USD,12/11/2025,Completed
276,255,Edgeblab,7391,UZS,9/5/2025,Failed
277,275,Twimm,3792,USD,6/23/2025,Completed
278,500,Twimbo,1864,EUR,8/24/2025,Pending
279,450,Devshare,2762,GBP,9/18/2025,Failed
280,82,Jetpulse,6409,UZS,11/22/2025,Pending
281,195,Skinte,3099,USD,11/13/2025,Failed
282,128,Gabspot,767,USD,9/3/2025,Completed
283,169,Blognation,6548,UZS,1/18/2025,Failed
284,26,Topicstorm,8786,GBP,12/6/2025,Failed
285,42,Wordify,5812,GBP,11/23/2025,Pending
286,156,Jaxnation,4955,UZS,1/10/2025,Completed
287,235,Zoomzone,4947,GBP,2/15/2025,Failed
288,38,Trunyx,5078,UZS,8/22/2025,Pending
289,187,Flipopia,4304,USD,9/23/2025,Failed
290,213,Trudeo,127,UZS,4/14/2025,Pending
291,213,Mycat,4883,GBP,8/16/2025,Pending
292,279,Yakidoo,341,GBP,2/6/2025,Failed
293,244,Rhyzio,9901,UZS,5/17/2025,Failed
294,281,Brightdog,702,GBP,5/30/2025,Pending
295,30,InnoZ,2679,USD,3/3/2025,Failed
296,53,Rhycero,652,EUR,8/4/2025,Pending
297,224,Riffwire,2078,GBP,7/21/2025,Pending
298,362,Skyvu,3262,USD,4/23/2025,Pending
299,280,Bubblemix,1836,EUR,10/24/2025,Completed
300,26,Ailane,8178,GBP,7/22/2025,Pending
301,236,Divape,3547,GBP,12/9/2025,Pending
302,32,Youopia,7417,GBP,5/4/2025,Failed
303,281,Avaveo,6432,USD,5/25/2025,Completed
304,320,Teklist,4854,UZS,5/11/2025,Pending
305,49,Jabbersphere,797,EUR,8/27/2025,Failed
306,500,Edgeify,8184,UZS,7/30/2025,Failed
307,221,Muxo,1544,USD,6/15/2025,Completed
308,462,Devcast,8522,USD,12/24/2025,Pending
309,204,Youtags,7640,USD,1/3/2025,Pending
310,195,Meeveo,412,USD,8/3/2025,Failed
311,156,Edgewire,5073,USD,5/31/2025,Pending
312,82,Bubblemix,5763,UZS,7/12/2025,Pending
313,171,Browsetype,1269,GBP,1/4/2025,Pending
314,320,Tagtune,5279,USD,2/18/2025,Pending
315,419,Eabox,4297,GBP,10/10/2025,Pending
316,283,Jaxbean,4154,GBP,11/30/2025,Pending
317,247,Photospace,3626,EUR,11/30/2025,Failed
318,37,Quimm,7921,UZS,8/18/2025,Failed
319,376,Zoozzy,974,GBP,4/26/2025,Pending
320,213,Innojam,5203,UZS,7/15/2025,Failed
321,428,Fadeo,3097,EUR,6/7/2025,Pending
322,27,Wordpedia,2641,UZS,12/16/2025,Completed
323,85,Oyoba,2829,USD,8/7/2025,Completed
324,147,Edgeblab,3958,GBP,11/9/2025,Pending
325,457,Yodo,6529,GBP,4/24/2025,Pending
326,49,Avamba,9733,EUR,11/25/2025,Pending
327,218,Shuffletag,6328,EUR,12/24/2025,Completed
328,99,Twitterbridge,5196,USD,8/8/2025,Pending
329,189,Rhynoodle,418,EUR,4/14/2025,Failed
330,7,Centimia,3740,GBP,3/10/2025,Failed
331,75,Kimia,1510,EUR,11/23/2025,Completed
332,52,Kwinu,5709,USD,9/10/2025,Pending
333,399,Topicstorm,1036,GBP,3/30/2025,Completed
334,324,Kamba,5865,USD,8/12/2025,Pending
335,94,Ozu,9078,GBP,12/2/2025,Pending
336,73,Voolia,7198,UZS,12/20/2025,Pending
337,319,Thoughtbridge,2463,UZS,10/11/2025,Failed
338,428,Zazio,2550,USD,5/31/2025,Failed
339,219,Eimbee,9145,EUR,8/27/2025,Pending
340,65,Zoomcast,4881,GBP,1/13/2025,Pending
341,198,Skyba,8863,UZS,3/2/2025,Pending
342,427,Cogidoo,5576,UZS,6/7/2025,Completed
343,364,Lazz,8940,GBP,3/5/2025,Pending
344,433,Quimba,4037,EUR,3/17/2025,Failed
345,478,Layo,6169,GBP,3/6/2025,Completed
346,477,Quinu,5975,USD,9/24/2025,Pending
347,199,Youfeed,4821,USD,7/26/2025,Pending
348,229,Dablist,5008,EUR,10/26/2025,Completed
349,249,Tambee,5545,EUR,6/26/2025,Pending
350,307,Dabshots,4269,USD,4/23/2025,Failed
351,210,Vimbo,8281,USD,4/19/2025,Failed
352,403,Yakidoo,4202,UZS,1/19/2025,Completed
353,411,Yata,751,UZS,4/26/2025,Completed
354,189,Jetwire,7953,EUR,9/26/2025,Pending
355,351,Thoughtbridge,7912,UZS,12/25/2025,Pending
356,50,Realfire,9354,USD,5/26/2025,Failed
357,39,Eadel,5350,UZS,6/4/2025,Completed
358,192,Voonyx,8195,UZS,7/2/2025,Failed
359,128,Skimia,8066,USD,1/3/2025,Failed
360,278,Meejo,183,USD,8/18/2025,Completed
361,495,Ooba,1572,USD,1/18/2025,Completed
362,338,Dynabox,902,EUR,5/25/2025,Completed
363,183,Skyba,5204,EUR,12/9/2025,Completed
364,83,Youfeed,8233,EUR,11/21/2025,Pending
365,402,Thoughtmix,1128,GBP,5/1/2025,Pending
366,424,Kaymbo,2665,UZS,9/10/2025,Completed
367,44,Tavu,620,USD,4/18/2025,Pending
368,71,Trupe,2484,GBP,8/6/2025,Pending
369,443,Fivebridge,9064,GBP,8/6/2025,Completed
370,200,Twitterbridge,2250,GBP,10/24/2025,Pending
371,341,Wikizz,3212,GBP,10/30/2025,Failed
372,455,InnoZ,914,GBP,9/10/2025,Failed
373,286,Agimba,7247,UZS,2/21/2025,Failed
374,61,Jabberstorm,6213,EUR,4/16/2025,Completed
375,35,Demivee,341,UZS,5/22/2025,Completed
376,289,Mymm,6375,EUR,12/12/2025,Completed
377,252,Wikizz,6886,GBP,10/4/2025,Pending
378,197,Trilith,7175,USD,2/23/2025,Completed
379,459,Twitterbeat,5426,EUR,11/12/2025,Completed
380,424,Voonyx,3308,USD,11/22/2025,Pending
381,428,Innotype,3430,EUR,3/15/2025,Completed
382,140,Yata,3340,UZS,11/19/2025,Failed
383,83,Fliptune,8685,USD,12/2/2025,Pending
384,162,Rooxo,8759,GBP,12/27/2025,Pending
385,368,Voonyx,7267,USD,9/21/2025,Completed
386,90,Minyx,3666,UZS,6/22/2025,Failed
387,280,Eire,1892,EUR,3/26/2025,Failed
388,169,Twitterwire,7496,GBP,6/16/2025,Pending
389,286,Lazz,6765,UZS,4/22/2025,Failed
390,493,Shufflebeat,9291,USD,3/22/2025,Completed
391,67,Linkbuzz,2008,USD,5/9/2025,Completed
392,410,Leenti,3432,UZS,7/21/2025,Failed
393,34,Edgewire,3917,UZS,3/6/2025,Failed
394,296,Jaxspan,4788,GBP,5/19/2025,Completed
395,96,Photofeed,7223,UZS,10/3/2025,Pending
396,55,Riffpedia,8926,EUR,7/21/2025,Completed
397,254,Katz,2839,USD,12/19/2025,Completed
398,199,Riffpath,8748,USD,4/18/2025,Completed
399,274,Shuffledrive,137,USD,11/17/2025,Pending
400,3,JumpXS,9333,UZS,3/9/2025,Failed
401,145,Yacero,1845,GBP,1/22/2025,Pending
402,498,Eadel,5877,USD,12/12/2025,Failed
403,63,Buzzshare,5435,UZS,2/5/2025,Failed
404,305,Topdrive,732,EUR,8/24/2025,Failed
405,37,Zoombox,4422,USD,2/18/2025,Pending
406,313,Quimm,1071,UZS,12/12/2025,Completed
407,360,Photobug,9251,UZS,10/29/2025,Failed
408,72,Bluejam,3674,EUR,3/1/2025,Failed
409,234,Reallinks,3145,UZS,3/21/2025,Failed
410,493,Jaloo,4322,USD,8/12/2025,Completed
411,381,Cogibox,4892,GBP,11/29/2025,Failed
412,449,Photospace,8479,EUR,3/21/2025,Pending
413,8,Teklist,2258,UZS,3/16/2025,Failed
414,368,Meeveo,6899,USD,11/3/2025,Pending
415,291,Kaymbo,4236,UZS,7/18/2025,Completed
416,394,Thoughtblab,3721,GBP,7/27/2025,Failed
417,199,Zoomcast,6053,EUR,11/21/2025,Completed
418,479,Lajo,472,UZS,5/3/2025,Completed
419,190,Fivebridge,4829,EUR,12/15/2025,Pending
420,444,Photobean,8615,GBP,9/25/2025,Failed
421,152,Mynte,400,USD,12/15/2025,Completed
422,148,Kare,6597,USD,9/18/2025,Failed
423,105,Tazz,6380,EUR,11/6/2025,Failed
424,301,Jaxbean,588,USD,5/1/2025,Failed
425,468,Tagpad,8003,USD,8/25/2025,Failed
426,221,Dynabox,7317,USD,1/23/2025,Completed
427,135,Devpoint,7945,USD,12/25/2025,Pending
428,74,Thoughtsphere,5522,USD,11/10/2025,Failed
429,494,Skibox,8589,USD,10/24/2025,Failed
430,45,Yoveo,4929,UZS,3/3/2025,Completed
431,450,Rhyloo,2555,USD,6/20/2025,Completed
432,327,Dabshots,4589,USD,2/4/2025,Failed
433,455,Realbuzz,4144,UZS,2/7/2025,Completed
434,178,Vinte,520,USD,3/13/2025,Completed
435,74,Quatz,4636,USD,7/9/2025,Completed
436,174,Bubblemix,2771,USD,9/3/2025,Failed
437,146,Divape,5812,EUR,8/7/2025,Completed
438,82,Linktype,4241,GBP,9/23/2025,Pending
439,37,Yakitri,418,USD,8/6/2025,Pending
440,14,Linktype,1653,UZS,10/23/2025,Completed
441,61,Wikizz,9894,GBP,10/7/2025,Completed
442,323,Oozz,403,USD,1/6/2025,Failed
443,67,Wordware,1774,EUR,7/19/2025,Completed
444,313,Wordify,5238,UZS,1/23/2025,Pending
445,369,Bubblebox,844,EUR,7/14/2025,Failed
446,11,Topdrive,8620,EUR,8/25/2025,Failed
447,108,Flashspan,6430,EUR,5/14/2025,Failed
448,173,Thoughtsphere,7160,EUR,8/24/2025,Failed
449,84,Kwilith,6634,UZS,10/20/2025,Completed
450,44,Edgepulse,4438,EUR,4/30/2025,Failed
451,414,Skidoo,5499,EUR,1/18/2025,Failed
452,346,Kayveo,5776,UZS,3/25/2025,Failed
453,108,Voonyx,8343,UZS,9/1/2025,Failed
454,350,Gevee,5346,UZS,9/2/2025,Pending
455,367,Quimm,6790,GBP,9/26/2025,Failed
456,228,Oyonder,3690,USD,5/12/2025,Completed
457,301,Aivee,9056,EUR,5/9/2025,Completed
458,38,Feedfire,7485,USD,12/30/2025,Failed
459,40,Vipe,42,UZS,6/2/2025,Completed
460,330,Dazzlesphere,6822,UZS,10/9/2025,Pending
461,93,Youopia,9928,GBP,6/28/2025,Pending
462,421,Jayo,7699,USD,7/18/2025,Pending
463,375,Youspan,1160,EUR,4/3/2025,Failed
464,173,Zoomdog,2947,EUR,9/27/2025,Completed
465,64,Gevee,828,EUR,10/11/2025,Completed
466,12,Thoughtbeat,1867,UZS,10/26/2025,Completed
467,247,Jabbersphere,1890,USD,1/3/2025,Completed
468,483,Twitternation,1696,EUR,4/24/2025,Pending
469,411,Eadel,654,USD,4/25/2025,Pending
470,291,Muxo,3181,GBP,2/23/2025,Pending
471,225,Jabbersphere,2090,UZS,9/30/2025,Failed
472,496,Youspan,6483,EUR,3/15/2025,Pending
473,435,Meeveo,4296,EUR,9/15/2025,Failed
474,171,Vipe,7149,EUR,10/11/2025,Completed
475,348,Linkbuzz,3920,USD,5/28/2025,Failed
476,386,Demizz,248,EUR,9/20/2025,Failed
477,197,Digitube,5776,USD,11/5/2025,Pending
478,325,Roomm,7966,UZS,5/25/2025,Completed
479,332,Livetube,5603,UZS,2/5/2025,Failed
480,220,Eadel,1391,USD,12/28/2025,Pending
481,60,Zooxo,8640,USD,2/27/2025,Completed
482,451,Avamm,7973,USD,7/10/2025,Completed
483,22,Kwilith,560,GBP,9/7/2025,Completed
484,475,Meemm,3818,EUR,3/14/2025,Failed
485,313,Feedmix,9738,GBP,10/22/2025,Pending
486,264,Demivee,1611,UZS,6/5/2025,Completed
487,308,Jabberstorm,8041,USD,5/16/2025,Completed
488,483,Thoughtstorm,1835,GBP,7/23/2025,Completed
489,454,Bubbletube,6873,GBP,8/26/2025,Pending
490,413,Yakidoo,1536,EUR,6/14/2025,Pending
491,264,Yamia,8613,UZS,11/19/2025,Pending
492,47,Oozz,5580,EUR,10/14/2025,Failed
493,180,Kayveo,7468,UZS,7/30/2025,Failed
494,209,Yakidoo,68,USD,2/19/2025,Completed
495,57,Gabcube,6224,USD,6/17/2025,Pending
496,183,Brightbean,7795,UZS,10/15/2025,Pending
497,38,Thoughtbridge,3296,USD,12/16/2025,Pending
498,194,Tagchat,5990,UZS,5/4/2025,Failed
499,195,Katz,7500,UZS,8/17/2025,Failed
500,305,Demivee,4014,GBP,8/5/2025,Failed
