FXID,CustomerID,CurrencyPair,ExchangeRate,AmountExchanged
104,801,EUR/GBP,1,1492
105,35,UZS/EUR,1,7001
106,108,UZS/EUR,1,898
107,755,USD/EUR,1,5799
108,408,UZS/USD,0,1073
109,143,UZS/GBP,0,7547
110,632,EUR/GBP,0,6563
111,340,USD/EUR,0,7645
112,270,UZS/EUR,1,2087
113,924,UZS/GBP,0,993
114,335,UZS/GBP,1,4240
115,453,UZS/EUR,0,6997
116,738,EUR/GBP,0,9912
117,241,UZS/USD,0,2144
118,992,UZS/GBP,1,9441
119,490,UZS/GBP,1,7957
120,632,USD/GBP,1,6776
121,71,USD/GBP,0,3759
122,47,EUR/GBP,0,8419
123,165,USD/GBP,1,9213
124,608,USD/GBP,0,6791
125,630,USD/GBP,0,8623
126,590,USD/EUR,1,319
127,327,USD/EUR,0,4937
128,500,USD/GBP,0,6824
129,515,UZS/EUR,1,2253
130,623,USD/EUR,1,9022
131,957,UZS/USD,1,671
132,902,USD/GBP,0,8323
133,586,UZS/GBP,0,5181
134,956,UZS/EUR,0,4913
135,930,USD/EUR,1,8189
136,41,UZS/USD,0,2482
137,665,UZS/GBP,0,2498
138,835,UZS/USD,0,3056
139,11,USD/EUR,1,9024
140,743,UZS/EUR,1,1608
141,336,EUR/GBP,0,4991
142,968,UZS/GBP,1,8899
143,392,USD/GBP,0,1133
144,996,USD/GBP,0,9105
145,586,UZS/GBP,0,2601
146,490,USD/GBP,0,9040
147,602,USD/EUR,0,2096
148,847,USD/EUR,1,7430
149,101,UZS/EUR,0,5895
150,287,USD/GBP,0,2020
151,107,UZS/GBP,0,3448
152,468,EUR/GBP,1,7265
153,834,UZS/USD,1,322
154,524,USD/EUR,1,960
155,77,USD/EUR,1,4150
156,380,USD/EUR,1,6593
157,255,UZS/USD,0,435
158,956,UZS/EUR,1,2833
159,543,EUR/GBP,1,4916
160,71,USD/GBP,0,1406
161,815,UZS/USD,1,9257
162,666,UZS/GBP,1,8605
163,894,UZS/USD,0,3372
164,629,USD/GBP,1,6785
165,673,USD/GBP,1,4530
166,292,USD/GBP,1,4123
167,773,UZS/EUR,0,3004
168,249,UZS/EUR,0,3370
169,50,EUR/GBP,1,5699
170,64,USD/EUR,0,4913
171,523,EUR/GBP,0,6796
172,478,USD/GBP,0,8017
173,548,UZS/EUR,0,6727
174,201,USD/EUR,0,8894
175,65,UZS/GBP,1,6247
176,459,UZS/EUR,0,4407
177,916,UZS/EUR,0,9900
178,131,UZS/USD,0,3096
179,843,USD/GBP,0,1696
180,631,UZS/EUR,1,1154
181,153,UZS/EUR,0,8571
182,600,UZS/USD,1,2606
183,8,UZS/GBP,0,5420
184,851,UZS/GBP,0,7226
185,20,UZS/USD,1,8574
186,224,USD/GBP,1,7948
187,500,EUR/GBP,1,8740
188,954,UZS/USD,0,4059
189,579,UZS/USD,1,7458
190,580,UZS/GBP,1,382
191,74,UZS/GBP,0,8293
192,65,UZS/EUR,0,446
193,422,UZS/EUR,1,8534
194,586,UZS/GBP,1,4132
195,557,UZS/GBP,0,7572
196,820,USD/EUR,1,3326
197,358,UZS/USD,1,751
198,352,UZS/EUR,1,4922
199,656,UZS/GBP,1,6120
200,991,EUR/GBP,1,4771
201,745,EUR/GBP,1,3011
202,508,EUR/GBP,1,9046
203,151,UZS/USD,0,9566
204,858,EUR/GBP,0,7404
205,760,USD/GBP,0,6272
206,786,USD/GBP,0,1195
207,913,USD/EUR,1,4278
208,272,USD/GBP,0,9660
209,865,UZS/EUR,0,2363
210,120,UZS/USD,0,3095
211,288,USD/EUR,0,7775
212,373,UZS/USD,0,6462
213,266,USD/EUR,1,685
214,456,UZS/EUR,0,3831
215,806,USD/GBP,1,9702
216,345,UZS/GBP,0,3952
217,737,USD/EUR,1,3951
218,193,UZS/EUR,1,409
219,51,UZS/EUR,0,2682
220,656,UZS/GBP,1,9822
221,995,EUR/GBP,1,5659
222,121,USD/EUR,1,3811
223,789,USD/GBP,1,2298
224,63,EUR/GBP,1,8266
225,165,UZS/EUR,0,8531
226,629,UZS/EUR,0,2446
227,203,EUR/GBP,1,1131
228,712,UZS/EUR,1,4954
229,89,UZS/GBP,0,7465
230,624,UZS/GBP,0,3134
231,203,UZS/GBP,1,9542
232,585,UZS/EUR,1,1142
233,418,USD/EUR,1,7094
234,964,UZS/GBP,1,7652
235,112,USD/GBP,0,3337
236,890,UZS/USD,0,2253
237,801,UZS/GBP,0,2167
238,706,USD/GBP,1,7023
239,548,UZS/EUR,1,7317
240,472,UZS/EUR,0,3657
241,399,UZS/USD,1,2054
242,559,EUR/GBP,0,7065
243,348,UZS/USD,1,3337
244,616,EUR/GBP,1,576
245,604,UZS/EUR,1,3581
246,205,USD/EUR,1,4174
247,291,EUR/GBP,0,925
248,986,UZS/GBP,1,7587
249,169,USD/EUR,1,852
250,629,USD/GBP,0,9704
251,784,EUR/GBP,0,9013
252,921,UZS/EUR,0,6440
253,422,UZS/GBP,0,5553
254,229,USD/EUR,0,8569
255,339,UZS/GBP,1,2311
256,658,EUR/GBP,1,9302
257,311,USD/EUR,1,9336
258,329,USD/EUR,1,9271
259,266,EUR/GBP,0,9190
260,969,USD/GBP,1,2879
261,974,UZS/EUR,1,9123
262,503,UZS/GBP,0,6091
263,762,UZS/USD,1,8663
264,150,UZS/EUR,0,6450
265,132,UZS/GBP,0,3248
266,695,UZS/USD,1,1238
267,463,UZS/EUR,1,5949
268,599,UZS/EUR,1,3592
269,465,UZS/GBP,0,7750
270,583,UZS/GBP,0,1200
271,458,UZS/USD,1,6366
272,308,UZS/EUR,1,1995
273,731,UZS/USD,0,7670
274,456,EUR/GBP,1,4978
275,538,USD/GBP,0,747
276,901,EUR/GBP,1,5821
277,288,EUR/GBP,0,7927
278,274,UZS/GBP,0,6332
279,216,UZS/GBP,0,5941
280,283,UZS/GBP,0,7404
281,589,UZS/GBP,0,668
282,774,USD/EUR,1,9786
283,944,UZS/USD,1,553
284,35,UZS/GBP,0,3886
285,701,USD/EUR,0,5533
286,909,USD/EUR,0,6319
287,621,EUR/GBP,0,1097
288,660,USD/GBP,0,8605
289,240,EUR/GBP,1,3185
290,702,UZS/USD,1,7850
291,781,UZS/USD,1,3270
292,536,USD/GBP,1,426
293,852,UZS/USD,1,9927
294,537,UZS/USD,0,3926
295,700,USD/EUR,1,3328
296,319,EUR/GBP,1,1237
297,335,EUR/GBP,1,3784
298,396,UZS/GBP,1,329
299,304,UZS/USD,1,8001
300,121,USD/EUR,0,461
