MerchantTransID,MerchantID,Amount,PaymentMethod,Date
84,92,7986.56,CreditCard,10/3/2025
85,79,6639.14,Cash,5/12/2025
86,46,5052.11,CreditCard,10/11/2025
87,34,1485.08,MobilePay,12/11/2025
88,34,3068.23,Cash,4/10/2025
89,18,7659.19,CreditCard,8/15/2025
90,8,2714.47,CreditCard,11/1/2025
91,21,469.01,Cash,11/7/2025
92,22,7291.79,Cash,4/8/2025
93,33,1151.42,Cash,6/13/2025
94,87,4013.78,Cash,10/2/2025
95,74,8413.46,CreditCard,5/10/2025
96,11,8453.01,CreditCard,7/31/2025
97,16,4414.19,Cash,7/22/2025
98,95,7517.57,Cash,9/13/2025
99,56,7533.23,CreditCard,2/10/2025
100,15,2156.46,Cash,11/18/2025
101,56,9172.26,MobilePay,1/18/2025
102,96,6756.32,MobilePay,5/17/2025
103,55,7285.83,Cash,5/15/2025
104,96,4979.06,CreditCard,5/17/2025
105,71,1917.39,CreditCard,1/27/2025
106,6,2054.82,CreditCard,12/27/2025
107,83,1207.6,CreditCard,6/27/2025
108,47,6069.05,MobilePay,4/29/2025
109,80,1987.07,CreditCard,11/18/2025
110,36,3934.15,MobilePay,8/3/2025
111,48,5847.96,CreditCard,6/16/2025
112,85,932.21,CreditCard,12/19/2025
113,1,7625.06,MobilePay,2/26/2025
114,79,8465.77,MobilePay,9/1/2025
115,24,6182.82,CreditCard,1/10/2025
116,48,6568.21,MobilePay,11/9/2025
117,34,9927.02,CreditCard,12/28/2025
118,7,4262.42,MobilePay,4/2/2025
119,60,9665.74,MobilePay,11/7/2025
120,14,7618.28,Cash,8/8/2025
121,55,4746.4,Cash,12/17/2025
122,40,9650.51,MobilePay,9/24/2025
123,69,5832.12,MobilePay,1/18/2025
124,48,5857.15,CreditCard,1/3/2025
125,35,6196.28,CreditCard,6/14/2025
126,34,6046.75,Cash,8/24/2025
127,30,2860.49,CreditCard,9/28/2025
128,72,5639.78,CreditCard,8/8/2025
129,43,7977.59,Cash,3/14/2025
130,67,6816.12,CreditCard,10/21/2025
131,16,581.07,CreditCard,4/23/2025
132,7,7474.27,Cash,5/18/2025
133,80,5206.34,MobilePay,12/2/2025
134,43,1600.01,MobilePay,4/23/2025
135,14,9575.14,CreditCard,10/30/2025
136,6,8537.66,Cash,1/24/2025
137,50,3541.53,Cash,1/17/2025
138,10,8874.91,Cash,8/7/2025
139,39,3078.88,Cash,3/20/2025
140,6,5152.45,CreditCard,10/14/2025
141,71,3575.56,CreditCard,9/14/2025
142,28,4219.86,Cash,11/24/2025
143,90,5607.54,CreditCard,11/20/2025
144,57,9194.49,MobilePay,12/1/2025
145,53,8342.95,CreditCard,3/29/2025
146,13,624.58,CreditCard,2/17/2025
147,24,47,Cash,11/19/2025
148,76,2438.26,MobilePay,12/16/2025
149,7,4200.37,Cash,4/20/2025
150,85,5463.12,CreditCard,9/16/2025
151,52,4115,CreditCard,2/7/2025
152,82,1761.67,CreditCard,12/14/2025
153,17,8376.74,Cash,7/20/2025
154,78,4262.65,Cash,10/8/2025
155,66,4283.1,Cash,9/30/2025
156,43,5112.68,CreditCard,3/24/2025
157,56,7762.83,MobilePay,8/23/2025
158,70,314.94,Cash,5/7/2025
159,96,8898.33,Cash,6/8/2025
160,40,1612.09,CreditCard,5/5/2025
161,87,5040.31,MobilePay,1/10/2025
162,93,3388.21,Cash,9/9/2025
163,93,1238.83,Cash,8/16/2025
164,51,8905.24,MobilePay,1/21/2025
165,89,8150.86,Cash,5/4/2025
166,56,223.94,CreditCard,2/10/2025
167,64,227.91,Cash,12/11/2025
168,5,7948.71,MobilePay,4/25/2025
169,88,6899.14,Cash,8/28/2025
170,88,5317.38,MobilePay,7/11/2025
171,65,4722.69,MobilePay,8/18/2025
172,17,9657.68,CreditCard,1/29/2025
173,78,5405.13,CreditCard,6/10/2025
174,53,2598.8,Cash,3/5/2025
175,73,603.35,MobilePay,8/22/2025
176,30,1812.82,MobilePay,9/28/2025
177,90,2039.24,MobilePay,5/15/2025
178,61,7829.92,Cash,11/25/2025
179,56,3192.21,MobilePay,7/17/2025
180,50,87.6,Cash,10/15/2025
181,26,2237,CreditCard,5/1/2025
182,47,1019.14,Cash,11/28/2025
183,43,8175.95,CreditCard,4/11/2025
184,4,31.17,MobilePay,6/28/2025
185,81,9801.32,Cash,7/12/2025
186,55,5930.89,CreditCard,12/2/2025
187,78,1522.48,MobilePay,9/7/2025
188,89,9489.68,MobilePay,7/22/2025
189,94,5923.61,Cash,12/11/2025
190,11,8040.6,MobilePay,6/21/2025
191,49,5552.62,CreditCard,2/22/2025
192,15,8393.98,CreditCard,6/21/2025
193,60,8561.65,MobilePay,7/4/2025
194,69,2215.42,CreditCard,8/23/2025
195,99,7149.87,Cash,12/13/2025
196,6,7289.04,MobilePay,6/24/2025
197,83,5177.44,MobilePay,7/17/2025
198,73,3707.16,MobilePay,10/13/2025
199,50,8328.44,Cash,7/11/2025
200,2,7607.52,Cash,8/26/2025
201,18,7088.48,Cash,3/5/2025
202,90,7609.97,MobilePay,7/21/2025
203,36,3520.01,CreditCard,11/18/2025
204,69,2999.35,MobilePay,2/16/2025
205,77,6791.64,Cash,1/19/2025
206,79,7335.76,MobilePay,9/17/2025
207,94,9856.39,MobilePay,9/26/2025
208,5,744.05,MobilePay,2/9/2025
209,19,217.98,Cash,1/19/2025
210,30,5424.87,MobilePay,8/27/2025
211,76,5304.32,CreditCard,12/11/2025
212,22,7771.02,MobilePay,3/31/2025
213,98,8480.9,CreditCard,8/11/2025
214,81,2000.02,CreditCard,6/10/2025
215,72,5828.78,MobilePay,6/29/2025
216,18,6830.02,Cash,5/31/2025
217,92,3455.61,CreditCard,4/24/2025
218,93,1556.45,Cash,7/9/2025
219,38,7808.11,Cash,7/4/2025
220,62,1571.38,MobilePay,3/16/2025
221,54,8151.73,CreditCard,2/10/2025
222,80,1882.92,Cash,7/7/2025
223,28,834.46,CreditCard,2/24/2025
224,35,8595.05,CreditCard,1/1/2025
225,83,2362.87,MobilePay,7/21/2025
226,16,4772.96,Cash,9/13/2025
227,88,7641.92,MobilePay,1/25/2025
228,1,805.35,Cash,6/7/2025
229,99,5827.75,MobilePay,7/5/2025
230,58,8254.82,Cash,10/23/2025
231,44,9656.43,Cash,6/28/2025
232,15,3228.6,MobilePay,1/2/2025
233,2,902.27,CreditCard,5/4/2025
234,75,7825.78,MobilePay,9/11/2025
235,12,9177.46,CreditCard,5/29/2025
236,25,6317.51,CreditCard,4/4/2025
237,97,2163.38,Cash,8/16/2025
238,50,2457.99,MobilePay,9/11/2025
239,80,9821.23,Cash,6/10/2025
240,100,5017.63,Cash,9/2/2025
241,85,5970.93,Cash,12/29/2025
242,86,128.16,Cash,3/26/2025
243,2,4015.63,Cash,7/3/2025
244,15,6783.55,MobilePay,9/29/2025
245,6,9387.28,Cash,9/28/2025
246,18,1630.56,Cash,11/21/2025
247,39,7233.5,CreditCard,12/21/2025
248,54,8135.71,Cash,4/29/2025
249,43,726.27,CreditCard,11/9/2025
250,51,2958.51,Cash,10/26/2025
251,22,9718.89,Cash,12/12/2025
252,29,4043.58,CreditCard,4/16/2025
253,10,1011.05,CreditCard,10/27/2025
254,14,5637.62,CreditCard,7/3/2025
255,60,4423.99,MobilePay,4/7/2025
256,96,4195.58,MobilePay,3/12/2025
257,29,3524.94,CreditCard,3/29/2025
258,27,7465.54,MobilePay,5/22/2025
259,18,7276.76,CreditCard,3/29/2025
260,31,1303.35,Cash,10/15/2025
261,92,3209.21,Cash,3/23/2025
262,28,5115.75,Cash,3/30/2025
263,2,1862.05,Cash,12/1/2025
264,12,2944.04,MobilePay,8/12/2025
265,6,2423.32,Cash,3/1/2025
266,25,6167.57,MobilePay,1/24/2025
267,5,9282.21,Cash,7/10/2025
268,92,7231.11,CreditCard,1/20/2025
269,3,5168.36,Cash,8/31/2025
270,98,6415.93,Cash,8/24/2025
271,98,2139.59,Cash,5/3/2025
272,25,2653.78,CreditCard,7/20/2025
273,99,9561.08,Cash,11/1/2025
274,39,2522.37,MobilePay,3/22/2025
275,88,1516.72,MobilePay,12/16/2025
276,70,3628.07,MobilePay,5/19/2025
277,74,6263.35,Cash,3/11/2025
278,86,506.59,MobilePay,6/5/2025
279,100,4506.94,Cash,6/11/2025
280,62,8072.85,CreditCard,9/5/2025
281,70,1408.45,CreditCard,2/17/2025
282,23,4734.7,CreditCard,6/10/2025
283,31,4166.69,CreditCard,11/10/2025
284,26,1393.62,MobilePay,2/18/2025
285,43,7500.36,Cash,10/15/2025
286,92,8539.29,CreditCard,8/10/2025
287,89,7241.48,CreditCard,4/8/2025
288,17,3277.26,MobilePay,7/31/2025
289,34,9946.78,MobilePay,1/23/2025
290,9,7217.81,MobilePay,8/18/2025
291,28,2950.16,CreditCard,12/19/2025
292,67,6144.39,Cash,6/20/2025
293,8,290.36,Cash,1/10/2025
294,61,5108.25,CreditCard,12/19/2025
295,47,7517.39,CreditCard,1/16/2025
296,57,1857.52,Cash,3/19/2025
297,79,507.58,CreditCard,8/31/2025
298,83,3743.89,MobilePay,10/10/2025
299,25,3337.32,MobilePay,4/25/2025
300,59,978.1,MobilePay,8/30/2025
301,54,2852.12,CreditCard,10/23/2025
302,71,8627.62,MobilePay,9/9/2025
303,85,7381.14,Cash,11/27/2025
304,48,6889.29,MobilePay,3/2/2025
305,90,6413.04,Cash,2/13/2025
306,33,2024.26,MobilePay,2/1/2025
307,54,656.47,MobilePay,10/2/2025
308,2,2045.78,CreditCard,5/30/2025
309,15,3666.66,MobilePay,11/6/2025
310,65,7063.78,CreditCard,12/10/2025
311,74,9810.61,MobilePay,8/3/2025
312,22,6317.74,CreditCard,8/3/2025
313,39,2635.21,CreditCard,5/6/2025
314,23,3378.32,CreditCard,2/6/2025
315,76,3476.68,CreditCard,7/9/2025
316,37,7000.27,CreditCard,12/29/2025
317,30,8848.83,MobilePay,3/20/2025
318,4,8886.65,CreditCard,3/16/2025
319,56,5934.6,MobilePay,8/27/2025
320,69,8770.91,CreditCard,10/26/2025
321,32,4349.78,Cash,12/12/2025
322,89,305.23,MobilePay,9/18/2025
323,89,9483.61,Cash,5/29/2025
324,48,1633.4,Cash,6/15/2025
325,66,2364.17,MobilePay,12/19/2025
326,25,4804.08,MobilePay,8/6/2025
327,22,4110.04,MobilePay,2/5/2025
328,80,8918.82,Cash,9/8/2025
329,65,6555.39,MobilePay,1/2/2025
330,100,3251.17,CreditCard,2/20/2025
331,38,2161.49,Cash,7/1/2025
332,53,4782.2,Cash,10/19/2025
333,44,5045.44,Cash,4/7/2025
334,46,9345.98,Cash,9/3/2025
335,96,6431.79,CreditCard,10/22/2025
336,60,7563.59,CreditCard,8/28/2025
337,26,2044.62,CreditCard,12/13/2025
338,91,464.28,Cash,1/27/2025
339,94,3162.42,MobilePay,7/8/2025
340,74,892.02,MobilePay,9/1/2025
341,39,7344.29,Cash,11/14/2025
342,81,3410.99,CreditCard,12/9/2025
343,41,6089.69,CreditCard,1/17/2025
344,11,1205.47,MobilePay,8/7/2025
345,2,9758.25,MobilePay,3/27/2025
346,100,9687.69,MobilePay,9/11/2025
347,55,4486.74,Cash,2/25/2025
348,69,6640.01,Cash,4/19/2025
349,95,5661.26,MobilePay,10/24/2025
350,41,3472.23,MobilePay,6/18/2025
351,80,7437.39,Cash,11/19/2025
352,34,6330.98,CreditCard,7/27/2025
353,9,2080.3,MobilePay,5/20/2025
354,47,4406.48,CreditCard,4/23/2025
355,19,4965,CreditCard,3/3/2025
356,55,5443.28,CreditCard,3/23/2025
357,3,2765.97,Cash,12/18/2025
358,20,7171.42,MobilePay,3/8/2025
359,88,8588.5,CreditCard,10/12/2025
360,7,273.05,CreditCard,10/27/2025
361,12,8483.19,CreditCard,9/19/2025
362,89,6266.08,Cash,5/3/2025
363,70,3743.63,CreditCard,10/20/2025
364,8,9562.11,Cash,11/12/2025
365,80,168.73,Cash,1/24/2025
366,3,6269.03,Cash,6/11/2025
367,74,5259.85,Cash,9/4/2025
368,99,6246.15,MobilePay,3/7/2025
369,89,2620.62,MobilePay,10/15/2025
370,56,840.16,MobilePay,1/22/2025
371,24,4513.04,CreditCard,1/2/2025
372,14,6557.62,Cash,6/9/2025
373,71,3442.14,CreditCard,7/19/2025
374,55,581.1,Cash,6/22/2025
375,80,954.97,Cash,3/17/2025
376,12,3879.12,Cash,8/4/2025
377,89,8098.77,MobilePay,10/4/2025
378,53,9984.92,Cash,6/22/2025
379,68,8435.88,Cash,5/22/2025
380,77,7545.75,CreditCard,3/5/2025
381,89,5707.29,Cash,12/19/2025
382,46,3341.32,CreditCard,11/14/2025
383,26,395.06,Cash,6/10/2025
384,89,8878.37,Cash,2/27/2025
385,56,1690.95,Cash,10/12/2025
386,55,6667.28,Cash,2/17/2025
387,73,9308.93,Cash,9/12/2025
388,39,2813.16,MobilePay,6/15/2025
389,94,9027.84,CreditCard,6/5/2025
390,9,9174.46,Cash,9/4/2025
391,66,5335.08,Cash,11/3/2025
392,49,3021.58,Cash,10/31/2025
393,40,4297.7,CreditCard,8/1/2025
394,88,2542.42,Cash,11/14/2025
395,95,8748.18,Cash,12/20/2025
396,20,3155.44,MobilePay,5/27/2025
397,23,3092.23,CreditCard,3/28/2025
398,80,3450.85,MobilePay,8/1/2025
399,66,1152.82,CreditCard,10/31/2025
400,3,6444.49,Cash,11/3/2025
401,38,5567.86,MobilePay,9/19/2025
402,21,7983.64,MobilePay,9/16/2025
403,98,8434.96,MobilePay,2/26/2025
404,93,3360.21,CreditCard,1/31/2025
405,8,5560.06,MobilePay,12/15/2025
406,85,1441.5,CreditCard,8/4/2025
407,71,1021.1,MobilePay,5/25/2025
408,47,3001.17,CreditCard,12/23/2025
409,89,8270.51,MobilePay,10/2/2025
410,74,6079.43,CreditCard,11/17/2025
411,32,7413.68,CreditCard,1/4/2025
412,44,2188.04,CreditCard,8/9/2025
413,2,4123.75,Cash,12/19/2025
414,7,962.46,MobilePay,3/7/2025
415,83,891.71,MobilePay,11/14/2025
416,55,7525.98,Cash,11/16/2025
417,17,8486.96,Cash,7/22/2025
418,26,9161.35,CreditCard,8/15/2025
419,77,9060.13,MobilePay,7/24/2025
420,91,7501.84,CreditCard,3/2/2025
421,58,8636.42,Cash,6/20/2025
422,82,9621.66,Cash,5/24/2025
423,5,5608.02,CreditCard,11/4/2025
424,60,4657.54,MobilePay,11/3/2025
425,10,9810.56,Cash,1/28/2025
426,89,8416.93,CreditCard,8/19/2025
427,30,1158.05,Cash,7/31/2025
428,20,894.13,CreditCard,7/13/2025
429,44,1941.03,MobilePay,10/24/2025
430,6,763.41,CreditCard,9/20/2025
431,85,533.74,CreditCard,8/12/2025
432,50,6327.9,MobilePay,3/13/2025
433,81,3501.96,MobilePay,8/15/2025
434,8,5846,MobilePay,2/24/2025
435,21,2110.68,CreditCard,5/21/2025
436,45,6271.59,MobilePay,12/4/2025
437,84,8329.43,CreditCard,10/28/2025
438,47,1422.04,Cash,4/27/2025
439,56,5881.17,MobilePay,4/10/2025
440,63,3465.48,Cash,4/18/2025
441,47,6578.16,Cash,7/28/2025
442,49,9040.63,MobilePay,5/28/2025
443,74,3348.43,MobilePay,8/26/2025
444,90,4263.78,CreditCard,6/25/2025
445,86,8294.95,Cash,4/17/2025
446,77,9709.75,MobilePay,11/25/2025
447,78,3928.62,CreditCard,7/7/2025
448,56,5455.03,CreditCard,7/23/2025
449,9,6163.91,CreditCard,3/9/2025
450,9,4811.42,MobilePay,3/13/2025
451,21,5083.83,Cash,10/20/2025
452,98,5709.7,CreditCard,2/13/2025
453,60,7577.37,MobilePay,9/20/2025
454,36,3399.02,MobilePay,5/25/2025
455,71,8935.33,MobilePay,11/5/2025
456,72,6562.53,MobilePay,2/27/2025
457,68,7318.21,Cash,7/9/2025
458,57,5246.32,MobilePay,10/20/2025
459,40,3909.98,CreditCard,8/23/2025
460,65,4000.63,MobilePay,5/19/2025
461,61,9914.12,Cash,1/31/2025
462,100,6705.76,MobilePay,2/10/2025
463,73,5261.16,MobilePay,1/5/2025
464,90,7320.8,CreditCard,9/28/2025
465,94,1127.37,CreditCard,9/25/2025
466,28,9618,CreditCard,3/11/2025
467,100,2430.66,CreditCard,8/20/2025
468,17,8530.54,Cash,9/3/2025
469,81,1728.3,MobilePay,8/15/2025
470,40,4055,MobilePay,4/1/2025
471,60,2800.76,Cash,11/23/2025
472,5,3629.38,MobilePay,5/29/2025
473,58,4802.18,CreditCard,11/1/2025
474,56,3924.9,Cash,11/4/2025
475,1,1944.06,Cash,3/25/2025
476,35,7081.71,CreditCard,6/18/2025
477,38,1622.28,MobilePay,8/22/2025
478,15,7346.87,CreditCard,5/15/2025
479,21,2168.48,MobilePay,5/23/2025
480,29,173.34,MobilePay,10/21/2025
481,60,3762.95,CreditCard,7/15/2025
482,21,1962.87,MobilePay,7/30/2025
483,75,6517.22,CreditCard,9/27/2025
484,47,1438.92,MobilePay,3/30/2025
485,26,915.43,MobilePay,9/8/2025
486,94,3944.02,CreditCard,10/19/2025
487,27,3787.32,Cash,2/2/2025
488,48,3026.25,Cash,7/5/2025
489,73,7192.66,Cash,2/23/2025
490,76,3361.97,Cash,7/12/2025
491,36,9559.67,CreditCard,9/9/2025
492,99,5761.17,Cash,10/16/2025
493,90,5285.02,Cash,9/15/2025
494,5,2302.67,MobilePay,6/22/2025
495,56,5448.11,CreditCard,6/22/2025
496,18,3009.42,Cash,7/24/2025
497,48,1015.32,MobilePay,12/30/2025
498,26,1667.49,MobilePay,1/5/2025
499,17,8220.43,Cash,1/22/2025
500,2,384.78,CreditCard,11/25/2025
