LoanID,CustomerID,LoanType,Amount,InterestRate,StartDate,EndDate,Status
90,23,Personal,44289,0,10/30/2021,6/24/2029,Paid
91,992,Mortgage,39504,0,11/21/2022,5/5/2028,Active
92,684,Auto,5238,0,10/5/2024,5/21/2029,Defaulted
93,511,Mortgage,38816,0,7/7/2024,9/7/2030,Active
94,558,Business,34508,0,12/22/2023,2/22/2027,Paid
95,576,Business,31862,0,11/21/2020,7/11/2029,Defaulted
96,675,Mortgage,24346,0,1/6/2024,12/22/2025,Active
97,459,Business,44926,0,12/20/2018,1/15/2021,Defaulted
98,244,Auto,14295,0,7/4/2025,1/27/2021,Active
99,864,Personal,32567,0,9/26/2020,7/24/2029,Paid
100,119,Personal,13173,0,3/26/2022,12/30/2024,Paid
101,502,Mortgage,24304,0,7/3/2020,8/15/2021,Active
102,301,Mortgage,15529,0,12/14/2019,10/20/2023,Paid
103,75,Business,19707,0,2/9/2021,5/7/2027,Paid
104,132,Business,18156,0,5/29/2023,9/22/2022,Active
105,898,Mortgage,14680,0,4/12/2025,5/30/2022,Defaulted
106,161,Personal,21938,0,4/24/2025,12/25/2026,Paid
107,872,Personal,47649,0,9/13/2024,2/16/2025,Defaulted
108,434,Business,15141,0,3/29/2019,4/14/2026,Paid
109,803,Personal,44962,0,5/3/2023,2/24/2024,Active
110,678,Personal,19113,0,4/2/2019,11/11/2029,Active
111,856,Mortgage,36442,0,2/15/2019,6/26/2028,Paid
112,219,Mortgage,31909,0,6/8/2025,12/18/2030,Defaulted
113,711,Mortgage,38422,0,7/18/2021,6/27/2023,Paid
114,82,Personal,39522,0,1/19/2018,3/7/2021,Active
115,383,Auto,12455,0,7/30/2023,5/1/2030,Paid
116,821,Personal,18721,0,8/20/2023,11/5/2026,Defaulted
117,996,Business,40165,0,10/7/2021,1/13/2023,Paid
118,553,Mortgage,32557,0,11/7/2019,4/7/2029,Active
119,116,Business,5903,0,9/11/2022,9/17/2029,Active
120,722,Mortgage,34224,0,4/28/2020,3/30/2028,Defaulted
121,839,Mortgage,8702,0,3/19/2024,5/6/2026,Active
122,238,Business,23380,0,5/26/2022,4/15/2022,Paid
123,667,Business,27672,0,11/2/2024,4/21/2026,Paid
124,543,Mortgage,7867,0,8/5/2021,6/5/2020,Paid
125,453,Business,39168,0,6/14/2024,6/15/2022,Defaulted
126,528,Business,47234,0,6/30/2018,4/13/2030,Active
127,784,Mortgage,15422,0,5/14/2018,1/3/2029,Defaulted
128,865,Personal,13202,0,2/10/2021,2/19/2024,Active
129,363,Auto,30928,0,4/6/2024,5/29/2021,Active
130,642,Auto,35307,0,9/15/2019,10/21/2020,Paid
131,471,Business,31571,0,8/19/2022,6/18/2023,Active
132,587,Auto,19463,0,3/30/2022,12/25/2022,Defaulted
133,398,Personal,34480,0,4/11/2019,6/1/2029,Paid
134,570,Personal,8828,0,6/22/2020,11/13/2026,Active
135,615,Auto,27083,0,5/25/2025,8/26/2023,Defaulted
136,879,Business,21220,0,12/29/2019,6/5/2029,Paid
137,488,Mortgage,19457,0,7/2/2025,9/4/2022,Active
138,432,Business,42807,0,10/12/2023,12/7/2027,Defaulted
139,148,Personal,5097,0,2/17/2022,2/28/2026,Paid
140,868,Business,47595,0,3/19/2025,8/20/2027,Paid
141,251,Personal,36605,0,3/7/2020,6/16/2021,Paid
142,233,Auto,16486,0,8/23/2023,10/13/2022,Active
143,7,Auto,45069,0,7/19/2024,6/16/2027,Defaulted
144,666,Personal,10511,0,8/21/2021,4/14/2027,Defaulted
145,452,Mortgage,26624,0,2/23/2022,2/15/2028,Defaulted
146,781,Business,49749,0,3/15/2021,12/4/2028,Paid
147,657,Business,15532,0,8/15/2022,9/24/2021,Defaulted
148,290,Mortgage,49289,0,6/22/2021,2/25/2022,Defaulted
149,950,Auto,19254,0,3/7/2025,9/24/2027,Defaulted
150,956,Personal,39844,0,2/13/2022,9/18/2020,Paid
151,946,Business,31640,0,1/25/2025,1/23/2027,Defaulted
152,618,Auto,20771,0,7/28/2024,6/2/2029,Paid
153,646,Mortgage,14876,0,4/14/2025,7/15/2023,Active
154,110,Business,48036,0,7/7/2024,10/3/2025,Paid
155,450,Mortgage,27584,0,9/12/2023,3/2/2025,Defaulted
156,459,Personal,38460,0,11/11/2018,3/22/2022,Active
157,473,Business,36437,0,3/30/2021,6/26/2023,Defaulted
158,415,Personal,22521,0,11/13/2023,11/29/2025,Paid
159,605,Business,33232,0,2/8/2021,8/26/2022,Defaulted
160,639,Business,33344,0,10/2/2021,10/11/2029,Paid
161,475,Auto,35313,0,1/18/2025,3/24/2020,Paid
162,956,Mortgage,21771,0,11/20/2024,4/9/2027,Defaulted
163,109,Business,45771,0,7/13/2024,11/12/2030,Active
164,385,Auto,28045,0,11/22/2020,12/16/2026,Paid
165,315,Personal,48811,0,3/12/2025,5/18/2025,Defaulted
166,251,Mortgage,8742,0,6/29/2025,10/15/2026,Paid
167,653,Business,32244,0,3/18/2019,8/12/2023,Defaulted
168,416,Auto,37673,0,5/1/2019,2/11/2028,Active
169,43,Mortgage,38811,0,6/24/2019,10/6/2028,Defaulted
170,876,Mortgage,22992,0,3/7/2020,6/21/2030,Paid
171,1000,Business,46253,0,2/12/2020,9/25/2028,Active
172,846,Auto,12052,0,11/8/2024,10/15/2030,Active
173,958,Personal,30940,0,12/27/2023,7/22/2025,Active
174,10,Business,27945,0,12/17/2023,7/7/2021,Defaulted
175,866,Business,8032,0,11/28/2024,4/12/2028,Defaulted
176,617,Personal,22207,0,8/6/2021,4/9/2022,Paid
177,62,Auto,5447,0,4/29/2020,6/7/2024,Active
178,924,Mortgage,40616,0,12/25/2019,12/30/2030,Active
179,791,Mortgage,14213,0,11/29/2023,2/15/2030,Active
180,213,Auto,24698,0,8/14/2023,12/10/2023,Defaulted
181,768,Personal,18343,0,10/15/2023,8/18/2027,Defaulted
182,791,Personal,6208,0,12/9/2022,10/13/2021,Paid
183,774,Business,15028,0,1/25/2022,8/23/2027,Active
184,856,Auto,5912,0,11/10/2022,9/5/2020,Paid
185,994,Mortgage,36688,0,6/21/2025,8/7/2022,Paid
186,166,Auto,40531,0,6/4/2024,12/7/2024,Paid
187,733,Auto,8480,0,5/9/2021,2/5/2024,Active
188,445,Personal,44041,0,10/13/2018,1/13/2026,Paid
189,650,Mortgage,33618,0,2/28/2025,12/8/2020,Active
190,269,Business,49586,0,12/30/2021,1/23/2021,Paid
191,402,Mortgage,28144,0,4/12/2019,9/2/2020,Active
192,95,Auto,13660,0,2/1/2022,1/2/2024,Paid
193,831,Auto,21810,0,9/27/2018,12/22/2028,Defaulted
194,457,Mortgage,6402,0,9/4/2025,8/25/2021,Active
195,367,Mortgage,33998,0,4/7/2019,1/4/2027,Defaulted
196,73,Mortgage,33496,0,3/20/2025,4/16/2024,Active
197,363,Auto,45048,0,2/2/2021,1/31/2022,Active
198,522,Business,38548,0,1/20/2020,10/4/2020,Defaulted
199,756,Business,8528,0,9/26/2024,2/5/2028,Active
200,620,Mortgage,40667,0,5/25/2023,3/2/2020,Defaulted
201,398,Mortgage,25896,0,8/25/2024,1/3/2029,Active
202,486,Personal,24052,0,5/24/2024,9/6/2030,Active
203,935,Mortgage,11676,0,3/29/2022,9/8/2021,Defaulted
204,251,Mortgage,28733,0,6/13/2021,9/15/2026,Defaulted
205,999,Mortgage,27882,0,2/17/2025,3/30/2023,Paid
206,359,Auto,18195,0,2/18/2022,12/19/2025,Defaulted
207,246,Auto,48696,0,11/21/2023,8/17/2021,Defaulted
208,824,Mortgage,30123,0,8/31/2023,12/24/2023,Active
209,883,Business,42014,0,11/20/2019,5/14/2029,Defaulted
210,711,Business,15414,0,11/11/2022,4/23/2022,Paid
211,325,Business,18667,0,6/29/2025,3/17/2022,Active
212,119,Business,42588,0,4/19/2023,7/30/2022,Defaulted
213,60,Auto,43906,0,8/4/2021,7/9/2024,Defaulted
214,284,Personal,46805,0,6/17/2020,3/16/2025,Defaulted
215,370,Personal,5057,0,4/11/2018,4/27/2030,Paid
216,148,Mortgage,46104,0,6/5/2022,1/30/2029,Active
217,847,Business,14085,0,3/3/2019,3/5/2025,Defaulted
218,288,Personal,20520,0,7/22/2023,1/17/2025,Defaulted
219,698,Auto,12059,0,3/24/2024,4/22/2020,Active
220,762,Personal,45543,0,3/2/2023,4/7/2020,Paid
221,868,Mortgage,38331,0,1/22/2022,4/20/2020,Paid
222,303,Auto,21384,0,8/14/2023,3/1/2029,Defaulted
223,629,Auto,24092,0,9/28/2018,6/7/2024,Paid
224,76,Personal,18156,0,4/23/2019,12/23/2026,Paid
225,675,Mortgage,6448,0,5/2/2018,7/31/2021,Paid
226,636,Auto,11929,0,6/20/2024,12/13/2024,Defaulted
227,208,Auto,41720,0,11/5/2024,1/27/2021,Paid
228,322,Business,46441,0,8/21/2024,12/16/2024,Paid
229,58,Business,35065,0,5/20/2019,3/11/2027,Defaulted
230,444,Auto,27372,0,10/23/2021,1/1/2026,Active
231,18,Personal,27158,0,6/26/2018,8/18/2030,Paid
232,430,Auto,40524,0,3/6/2024,6/12/2027,Active
233,442,Business,30031,0,4/7/2018,4/18/2030,Defaulted
234,674,Personal,44836,0,9/15/2020,2/11/2028,Defaulted
235,618,Business,8941,0,7/3/2022,5/5/2024,Paid
236,114,Auto,39678,0,1/31/2025,6/25/2022,Paid
237,676,Personal,13325,0,6/27/2019,4/20/2027,Active
238,724,Personal,13666,0,3/13/2025,11/11/2025,Active
239,216,Auto,31431,0,3/7/2021,6/27/2023,Active
240,734,Mortgage,9517,0,10/15/2018,2/10/2026,Active
241,949,Mortgage,42099,0,9/15/2024,7/4/2026,Defaulted
242,214,Mortgage,43424,0,7/31/2024,2/4/2027,Paid
243,753,Business,22792,0,7/1/2020,2/15/2024,Active
244,367,Personal,47858,0,7/15/2022,3/11/2030,Paid
245,308,Personal,45167,0,4/9/2021,6/21/2020,Paid
246,661,Auto,7259,0,9/28/2024,7/6/2021,Defaulted
247,925,Auto,27230,0,10/3/2021,6/6/2030,Paid
248,899,Mortgage,45924,0,11/25/2019,8/28/2023,Defaulted
249,597,Auto,20002,0,6/30/2023,8/19/2029,Active
250,696,Personal,9821,0,7/7/2021,2/26/2021,Active
251,922,Auto,29400,0,10/31/2023,4/4/2022,Paid
252,647,Personal,27184,0,9/20/2018,3/19/2027,Paid
253,913,Business,19835,0,11/10/2025,3/19/2025,Paid
254,637,Personal,29903,0,4/7/2021,8/18/2021,Defaulted
255,497,Business,34103,0,2/3/2021,11/6/2020,Defaulted
256,698,Personal,25188,0,1/26/2025,8/2/2022,Defaulted
257,316,Auto,23104,0,10/14/2018,7/26/2021,Paid
258,794,Mortgage,33674,0,5/26/2024,12/20/2022,Active
259,320,Mortgage,35646,0,4/17/2019,2/8/2021,Active
260,251,Auto,8166,0,7/11/2019,11/19/2022,Active
261,709,Personal,5411,0,5/11/2019,5/9/2028,Paid
262,115,Business,45227,0,4/10/2019,1/28/2029,Active
263,869,Business,25851,0,9/8/2024,8/16/2025,Defaulted
264,776,Auto,42448,0,7/4/2024,11/29/2021,Active
265,343,Business,33900,0,4/5/2023,9/21/2026,Defaulted
266,136,Auto,30213,0,9/4/2023,12/28/2030,Defaulted
267,546,Business,46718,0,8/17/2021,6/28/2029,Defaulted
268,934,Auto,47922,0,11/1/2024,6/25/2029,Defaulted
269,810,Business,47993,0,3/19/2024,6/28/2023,Defaulted
270,449,Business,12936,0,1/3/2024,3/12/2025,Paid
271,272,Personal,20169,0,7/18/2022,8/2/2025,Defaulted
272,303,Auto,43289,0,12/12/2022,11/16/2026,Paid
273,426,Business,22639,0,9/1/2020,12/21/2024,Defaulted
274,520,Personal,12786,0,1/10/2023,11/12/2020,Active
275,934,Auto,17299,0,3/19/2021,1/9/2029,Paid
276,137,Personal,7702,0,9/13/2024,5/29/2022,Active
277,266,Mortgage,7556,0,11/7/2018,2/4/2030,Active
278,827,Personal,5964,0,12/1/2023,2/24/2020,Active
279,59,Mortgage,37052,0,6/17/2019,12/21/2021,Paid
280,857,Business,41807,0,11/21/2021,9/16/2025,Defaulted
281,169,Personal,28752,0,1/11/2020,9/30/2026,Active
282,484,Personal,15861,0,12/4/2018,3/9/2025,Active
283,22,Personal,41606,0,6/18/2022,7/15/2020,Active
284,254,Personal,16980,0,11/18/2023,11/19/2024,Defaulted
285,923,Personal,8447,0,7/3/2020,1/30/2022,Paid
286,403,Mortgage,11197,0,3/19/2020,12/2/2026,Active
287,621,Mortgage,28348,0,3/21/2018,1/7/2023,Active
288,150,Mortgage,14945,0,5/23/2021,10/19/2024,Defaulted
289,3,Personal,37916,0,12/15/2025,10/20/2030,Paid
290,171,Auto,22311,0,8/12/2022,4/15/2021,Active
291,338,Business,48936,0,4/11/2022,11/25/2030,Defaulted
292,429,Business,18574,0,4/11/2020,3/15/2021,Defaulted
293,466,Mortgage,27252,0,1/7/2024,4/9/2029,Defaulted
294,880,Auto,23149,0,3/24/2022,4/4/2030,Active
295,818,Auto,30843,0,6/12/2023,11/28/2022,Active
296,776,Mortgage,34828,0,1/17/2020,4/11/2020,Paid
297,193,Mortgage,39040,0,8/24/2023,7/9/2020,Active
298,533,Business,32553,0,12/16/2025,8/15/2023,Paid
299,712,Business,34073,0,9/10/2025,6/10/2026,Defaulted
300,558,Mortgage,16906,0,2/26/2022,7/15/2021,Defaulted
301,194,Personal,43734,0,3/25/2019,12/7/2028,Active
302,909,Mortgage,49881,0,12/14/2019,6/12/2026,Paid
303,909,Personal,45576,0,2/4/2023,9/28/2024,Paid
304,569,Mortgage,7863,0,3/13/2018,6/8/2023,Active
305,916,Mortgage,28578,0,7/11/2024,7/7/2028,Defaulted
306,452,Auto,44033,0,3/23/2023,10/14/2020,Defaulted
307,61,Mortgage,17558,0,11/16/2024,4/8/2030,Active
308,444,Personal,21701,0,2/10/2023,5/26/2029,Defaulted
309,394,Business,40948,0,9/1/2023,1/23/2024,Paid
310,942,Auto,7230,0,10/8/2024,1/12/2028,Defaulted
311,622,Personal,44144,0,7/16/2025,7/4/2029,Paid
312,948,Auto,43458,0,3/11/2019,5/18/2028,Paid
313,621,Business,36908,0,3/29/2020,3/29/2024,Paid
314,561,Personal,21515,0,9/25/2020,4/4/2020,Defaulted
315,331,Business,6334,0,8/27/2025,2/18/2023,Defaulted
316,413,Mortgage,31509,0,8/8/2019,6/18/2022,Active
317,22,Personal,41208,0,1/17/2022,2/24/2024,Paid
318,948,Business,23167,0,10/10/2025,12/9/2021,Defaulted
319,946,Business,25800,0,8/13/2025,7/6/2022,Defaulted
320,478,Auto,16225,0,7/14/2025,1/16/2021,Active
321,123,Auto,9262,0,11/20/2019,4/18/2023,Paid
322,944,Mortgage,37072,0,1/9/2024,1/4/2030,Active
323,167,Mortgage,34812,0,5/17/2018,8/29/2025,Paid
324,24,Auto,33079,0,9/16/2018,4/19/2023,Defaulted
325,745,Auto,31454,0,10/26/2022,4/28/2028,Defaulted
326,485,Business,49130,0,3/26/2022,12/21/2027,Paid
327,15,Mortgage,14479,0,11/22/2018,6/16/2022,Defaulted
328,363,Personal,37988,0,7/27/2025,1/26/2030,Paid
329,243,Business,22045,0,10/2/2024,3/6/2024,Active
330,746,Business,49928,0,10/23/2020,7/22/2030,Paid
331,353,Auto,34687,0,2/29/2020,2/8/2029,Active
332,970,Mortgage,39247,0,4/30/2024,3/1/2028,Defaulted
333,4,Personal,29599,0,11/4/2023,11/23/2025,Defaulted
334,163,Mortgage,40577,0,8/6/2021,10/7/2027,Active
335,944,Mortgage,11697,0,4/13/2022,12/19/2020,Active
336,809,Business,9080,0,2/11/2025,11/13/2027,Defaulted
337,35,Auto,33418,0,6/13/2020,4/6/2023,Active
338,503,Business,26398,0,6/17/2018,11/8/2026,Paid
339,826,Personal,47857,0,7/28/2019,1/6/2026,Active
340,322,Auto,46924,0,12/9/2018,4/18/2027,Defaulted
341,686,Mortgage,10459,0,1/18/2021,11/4/2020,Paid
342,671,Auto,49019,0,12/23/2021,9/23/2021,Defaulted
343,164,Business,6443,0,11/12/2022,8/27/2027,Active
344,394,Mortgage,13684,0,7/21/2022,3/3/2027,Defaulted
345,629,Personal,22415,0,4/29/2022,7/31/2027,Defaulted
346,85,Business,41720,0,11/13/2020,8/7/2026,Paid
347,981,Auto,40920,0,5/27/2025,1/5/2030,Defaulted
348,768,Personal,28511,0,10/27/2022,3/6/2022,Active
349,214,Personal,39054,0,11/4/2025,1/18/2027,Active
350,519,Mortgage,40542,0,11/9/2019,1/30/2029,Active
351,911,Auto,9410,0,10/2/2018,12/10/2021,Paid
352,93,Personal,19732,0,7/23/2019,4/29/2025,Defaulted
353,381,Mortgage,12869,0,1/29/2022,3/28/2029,Active
354,543,Mortgage,33204,0,9/13/2018,7/24/2028,Paid
355,885,Personal,27559,0,8/23/2022,6/26/2027,Paid
356,78,Mortgage,38648,0,7/7/2021,2/6/2025,Paid
357,643,Mortgage,49876,0,5/11/2022,11/4/2022,Active
358,229,Auto,23537,0,10/10/2018,8/4/2020,Active
359,592,Auto,19116,0,4/29/2025,1/31/2021,Defaulted
360,696,Mortgage,28073,0,6/4/2019,6/12/2020,Paid
361,620,Auto,23348,0,5/11/2019,4/13/2024,Active
362,955,Mortgage,28661,0,10/7/2025,5/15/2022,Paid
363,21,Mortgage,41931,0,1/15/2025,10/6/2020,Defaulted
364,359,Mortgage,41633,0,12/1/2021,6/5/2025,Active
365,827,Auto,7204,0,2/1/2018,1/28/2023,Defaulted
366,583,Personal,24670,0,7/12/2020,4/12/2020,Defaulted
367,302,Personal,17547,0,11/14/2018,6/25/2021,Defaulted
368,564,Auto,9003,0,12/1/2024,9/11/2022,Active
369,340,Auto,6689,0,11/25/2020,10/28/2021,Active
370,853,Personal,28338,0,6/11/2021,3/1/2024,Defaulted
371,752,Auto,12914,0,10/17/2020,9/9/2024,Defaulted
372,88,Mortgage,43885,0,5/11/2018,6/12/2021,Defaulted
373,665,Auto,16105,0,3/20/2020,4/12/2029,Defaulted
374,351,Business,33149,0,1/18/2018,9/10/2020,Active
375,329,Business,24405,0,1/21/2022,10/4/2021,Paid
376,737,Mortgage,22659,0,4/9/2024,8/3/2028,Active
377,445,Business,36687,0,12/25/2023,2/22/2023,Active
378,888,Auto,37258,0,7/18/2024,6/22/2024,Active
379,236,Auto,21942,0,9/1/2019,1/26/2026,Defaulted
380,79,Business,22871,0,12/20/2021,1/3/2027,Paid
381,798,Personal,26091,0,5/14/2019,3/26/2027,Active
382,633,Business,8488,0,10/28/2018,10/18/2022,Paid
383,253,Auto,33856,0,11/11/2020,6/13/2024,Active
384,205,Personal,19406,0,9/2/2023,4/29/2022,Defaulted
385,800,Auto,23598,0,6/24/2023,6/14/2021,Paid
386,785,Auto,32703,0,11/14/2023,9/18/2025,Defaulted
387,688,Business,26547,0,1/28/2022,5/21/2021,Defaulted
388,965,Auto,40055,0,2/17/2018,3/30/2024,Defaulted
389,805,Personal,20193,0,9/22/2021,2/3/2021,Defaulted
390,375,Mortgage,29949,0,5/5/2025,5/9/2022,Defaulted
391,820,Business,32916,0,10/20/2019,6/29/2028,Active
392,806,Auto,25944,0,7/1/2019,11/7/2026,Paid
393,409,Auto,43980,0,8/25/2020,11/20/2027,Paid
394,737,Mortgage,47460,0,5/3/2018,7/5/2028,Paid
395,182,Mortgage,31709,0,10/18/2021,3/7/2027,Paid
396,717,Auto,9660,0,5/27/2023,4/10/2023,Paid
397,710,Personal,27311,0,5/12/2020,3/20/2023,Defaulted
398,407,Auto,37096,0,10/27/2024,1/25/2020,Defaulted
399,841,Mortgage,26667,0,10/25/2019,1/7/2023,Active
400,255,Business,38807,0,5/30/2023,7/11/2025,Paid
401,402,Personal,23913,0,6/26/2021,8/17/2025,Defaulted
402,194,Auto,29642,0,9/22/2025,8/18/2023,Paid
403,559,Personal,8946,0,9/5/2021,6/13/2029,Paid
404,551,Mortgage,10555,0,1/23/2019,6/6/2025,Paid
405,270,Auto,8675,0,1/1/2024,8/14/2020,Defaulted
406,990,Auto,49272,0,7/1/2023,10/4/2023,Paid
407,953,Personal,25461,0,2/16/2019,3/22/2030,Active
408,844,Personal,49393,0,8/27/2023,7/19/2027,Active
409,90,Business,40223,0,12/2/2023,8/10/2029,Defaulted
410,608,Mortgage,6073,0,10/22/2018,12/4/2021,Active
411,692,Personal,31906,0,12/18/2021,10/6/2021,Defaulted
412,926,Personal,27788,0,1/7/2025,8/12/2025,Defaulted
413,577,Business,43105,0,9/16/2020,10/12/2020,Paid
414,977,Mortgage,33494,0,11/2/2018,3/15/2020,Active
415,844,Business,31408,0,10/22/2021,11/22/2020,Paid
416,365,Auto,45705,0,9/10/2022,6/18/2021,Active
417,980,Auto,48026,0,8/15/2018,9/28/2021,Defaulted
418,57,Personal,25628,0,12/24/2020,1/23/2023,Paid
419,744,Mortgage,48098,0,11/19/2020,8/15/2025,Defaulted
420,600,Personal,40706,0,12/24/2019,12/4/2025,Active
421,125,Auto,19164,0,6/22/2020,10/15/2022,Paid
422,478,Personal,24833,0,4/6/2024,6/3/2029,Defaulted
423,58,Auto,17512,0,4/17/2022,10/1/2021,Defaulted
424,931,Personal,42578,0,2/17/2023,7/30/2023,Paid
425,994,Business,26666,0,7/31/2018,2/27/2024,Active
426,332,Personal,14888,0,1/7/2024,5/21/2025,Paid
427,255,Business,22347,0,2/6/2018,5/1/2023,Active
428,646,Personal,5628,0,7/13/2021,1/11/2027,Active
429,931,Business,34230,0,7/30/2020,2/1/2030,Defaulted
430,712,Business,8255,0,3/7/2021,2/25/2022,Defaulted
431,224,Business,22222,0,10/2/2021,12/11/2024,Defaulted
432,238,Personal,11344,0,3/22/2025,9/3/2025,Defaulted
433,144,Mortgage,29903,0,3/14/2020,10/6/2026,Paid
434,473,Personal,6937,0,4/15/2019,3/26/2021,Paid
435,537,Business,34556,0,7/27/2024,12/8/2026,Active
436,887,Personal,15735,0,8/27/2020,12/31/2022,Active
437,70,Personal,49558,0,4/15/2021,1/21/2024,Active
438,228,Business,31415,0,2/1/2019,6/20/2030,Paid
439,828,Personal,39491,0,1/8/2019,8/11/2021,Active
440,586,Auto,26651,0,12/22/2019,4/4/2023,Active
